ArticleTitle,ArticleID,HashValue,Department ,CloseDate ,WinningBid ,InventoryID,VehicleID,ReceiptNumber ,Fund
Diamond Back Bicycle,98019,99,POLICE VEHICLE IMPOUND,12/5/2016,$39.00 ,IM-1067043,,Money Order,General Fund
Nishiki 21-Speed Bicycle,98017,97,POLICE VEHICLE IMPOUND,12/5/2016,$53.00 ,IM-167532,,3690374823,General Fund
Pacific 21-Speed Bicycle,98016,96,POLICE VEHICLE IMPOUND,12/5/2016,$25.00 ,IM-164977,,3690527641,General Fund
Next 14-Speed Bicycle,98015,95,POLICE VEHICLE IMPOUND,12/5/2016,$21.00 ,IM-1074187,,3690141071,General Fund
Breezer 24-Speed Bicycle,98014,94,POLICE VEHICLE IMPOUND,12/5/2016,$209.00 ,IM-148995,,3690056324,General Fund
GMC 21-Speed Bicycle,98013,93,POLICE VEHICLE IMPOUND,12/5/2016,$57.00 ,IM-172876,,Money Order,General Fund
Magna 15-Speed Bicycle,98012,92,POLICE VEHICLE IMPOUND,12/5/2016,$27.00 ,IM-149000,,3690095346,General Fund
Dell Laptop,98011,91,ITS,12/5/2016,$118.50 ,110140,,3689973470,General Fund
Dell Laptop,98010,90,ITS,12/5/2016,$88.05 ,110538,,3690146276,General Fund
Dell Laptop,98009,89,ITS,12/5/2016,$84.00 ,110532,,3690050066,General Fund
Office Supplies,98008,88,REGISTER OF DEEDS,12/5/2016,$21.00 ,"108082, 108079, 108081, 108070, 108080, 108076, 108072",,3690258278,General Fund
Printer,98006,86,REGISTER OF DEEDS,12/5/2016,$52.00 ,108063,,3690258275,General Fund
Printer,98005,85,REGISTER OF DEEDS,12/5/2016,$50.00 ,108064,,3690072277,General Fund
Printer,98004,84,REGISTER OF DEEDS,12/5/2016,$45.00 ,108062,,3690072273,General Fund
Printer,98003,83,REGISTER OF DEEDS,12/5/2016,$42.00 ,108061,,3689967871,General Fund
Microwave,98002,82,REGISTER OF DEEDS,12/5/2016,$22.89 ,108078,,3691033939,General Fund
Microwave,98001,81,REGISTER OF DEEDS,12/5/2016,$20.01 ,108077,,3690930820,General Fund
Printer,98000,80,REGISTER OF DEEDS,12/5/2016,$40.50 ,108060,,3690267190,General Fund
Lamp,97999,79,GENERAL SERVICES,12/5/2016,$11.00 ,109827,,Cashiers Check,General Fund
3 Chairs,97998,78,GENERAL SERVICES,12/5/2016,$2.00 ,"109973, 109977, 109978",,3690961483,General Fund
Binders,97995,75,POLICE DEPARTMENT,12/5/2016,$4.00 ,108948A,,3689963867,General Fund
3 Chairs,97994,74,POLICE DEPARTMENT,12/5/2016,$4.00 ,"110872, 110873, 110874",,3690550867,General Fund
Popcorn Popper w/Stand,97993,73,ECD COMMUNICATIONS,12/5/2016,$130.00 ,ECD-110883,,Cashiers Check,Enterprise
Electric Impact Wrench,98045,125,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/6/2016,$42.00 ,PPEU-034-031,,3690241644,Enterprise
DeWalt VSR Versa-Clutch Screwdriver,98044,124,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/6/2016,$20.00 ,PPEU-034-023,,3690241982,Enterprise
"Black & Decker 1/2"" Electric Impact Wrench",98043,123,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/6/2016,$29.02 ,PPEU-034-033,,3690067279,Enterprise
Hilti Angle Grinder,98042,122,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/6/2016,$21.00 ,PPEU-034-027,,3690137617,Enterprise
AmBico Bag w/Camera Accessories,98041,121,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/6/2016,$32.60 ,PPEU-034-036,,3690060900,Enterprise
Innova Car Scan,98040,120,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/6/2016,$201.00 ,PPEU-034-032,,3690551269,Enterprise
Tool Box w/Tools,98039,119,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/6/2016,$54.26 ,PPEU-034-042,,3690389639,Enterprise
Copier,98029,109,SCHOOL BOARD WAREHOUSE,12/6/2016,$113.00 ,SBS-7963,,3690094896,Enterprise
Mixer,98027,107,SCHOOL BOARD FOOD SERVICE,12/6/2016,$870.00 ,FSBS-0312,,3690053834,Enterprise
Ice Maker,98025,105,SCHOOL BOARD FOOD SERVICE,12/6/2016,$640.00 ,FSBS-0315,,Cashiers Check,Enterprise
Ice Cream Box,98024,104,SCHOOL BOARD FOOD SERVICE,12/6/2016,$2.00 ,FSBS-0313,,3690791030,Enterprise
Refrigerator,98023,103,SCHOOL BOARD FOOD SERVICE,12/6/2016,$106.01 ,FSBS-0316,,3690542151,Enterprise
Freezer,98022,102,SCHOOL BOARD FOOD SERVICE,12/6/2016,$135.99 ,FSBS-0314,,3690791023,Enterprise
2009 Chevolet Impala,98086,166,OFM-POLICE,12/7/2016,$164.00 ,,1884 JI,Money Order,Enterprise
2008 Ford F-550,98085,165,OFM-WATER SERVICES,12/7/2016,"$6,350.00 ",,1577 JG,Cashiers Check,Enterprise
2005 CM Dakota 2 Stall Horse Trailer,98084,164,POLICE DEPARTMENT,12/7/2016,"$2,425.00 ",,07S 4686,Cashiers Check,General Fund
2005 CM Dakota 2 Stall Horse Trailer,98083,163,POLICE DEPARTMENT,12/7/2016,"$2,425.00 ",,07S 4687,Cashiers Check,General Fund
Compaq Laptop,98077,157,POLICE STATE DRUG FUND,12/7/2016,$48.00 ,PSDF-027C-183,,3690163275,Enterprise
2 PS3 Controllers,98076,156,POLICE STATE DRUG FUND,12/7/2016,$6.99 ,PSDF-027C-181,,3690594168,Enterprise
"Dynex 60"" Tripod",98075,155,POLICE STATE DRUG FUND,12/7/2016,$22.01 ,PSDF-027C-198,,3690163339,Enterprise
RCA Blu-ray Player,98072,152,POLICE STATE DRUG FUND,12/7/2016,$10.50 ,PSDF-027C-202,,Money Order,Enterprise
Sony Blu-ray Player,98071,151,POLICE STATE DRUG FUND,12/7/2016,$28.44 ,PSDF-027C-173,,Money Order,Enterprise
Apex DVD Player,98070,150,POLICE STATE DRUG FUND,12/7/2016,$13.00 ,PSDF-027C-203,,Money Order,Enterprise
Onkyo Receiver,98068,148,POLICE STATE DRUG FUND,12/7/2016,$97.99 ,PSDF-027C-194,,3690389647,Enterprise
Hoshizaki Ice Machine,98062,142,SCHOOL BOARD FOOD SERVICE,12/7/2016,$311.00 ,FSBS-0337,,3690245129,Enterprise
Hoshizaki Ice Machine,98061,141,SCHOOL BOARD FOOD SERVICE,12/7/2016,$311.00 ,FSBS-0336,,3690245126,Enterprise
3 Televisions,97961,41,DRUG TASK FORCE,12/8/2016,$15.01 ,"TF-336-016, TF-336-018, TF-336-021",,3690771293,Enterprise
"Marantz 50"" Plasma Monitor",97960,40,DRUG TASK FORCE,12/8/2016,$10.11 ,TF-336-017,,3691175249,Enterprise
"Sanyo 55"" LCD TV",97959,39,DRUG TASK FORCE,12/8/2016,$362.44 ,TF-336-039,,Money Order,Enterprise
"Samsung 43"" Plasma TV",97958,38,DRUG TASK FORCE,12/8/2016,$93.00 ,TF-336-025,,3690624968,Enterprise
"Samsung 43"" Plasma TV",97957,37,DRUG TASK FORCE,12/8/2016,$57.00 ,TF-336-026,,Money Order,Enterprise
"Samsung 43"" Plasma TV",97956,36,DRUG TASK FORCE,12/8/2016,$96.00 ,TF-336-027,,3690556422,Enterprise
Dell Monitor,97955,35,DRUG TASK FORCE,12/8/2016,$13.00 ,TF-332-106,,3690528491,Enterprise
Gateway Laptop,97954,34,DRUG TASK FORCE,12/8/2016,$25.00 ,TF-332-030,,3690255090,Enterprise
Weight Bench,97953,33,DRUG TASK FORCE,12/8/2016,$103.00 ,TF-332-108,,3690389635,Enterprise
Horizon Elliptical Machine,97952,32,DRUG TASK FORCE,12/8/2016,$25.00 ,TF-332-115,,3690791017,Enterprise
Weider Club Work Out Gym Set,97951,31,DRUG TASK FORCE,12/8/2016,$190.00 ,"TF-332-107, TF-332-034",,3690389633,Enterprise
Weight Bar w/Assorted Weights,97950,30,DRUG TASK FORCE,12/8/2016,$195.00 ,TF-332-111,,3690977738,Enterprise
2 Weight Stands w/Weights,97949,29,DRUG TASK FORCE,12/8/2016,$94.00 ,"TF-332-109, TF-332-110",,3690389631,Enterprise
"Samsung 40"" LED TV",97947,27,DRUG TASK FORCE,12/8/2016,$130.00 ,TF-332-119,,Money Order,Enterprise
"Hisense 40"" LED TV",97946,26,DRUG TASK FORCE,12/8/2016,$157.00 ,TF-332-040,,3690249163,Enterprise
"Chicago 7"" Tile Saw",98199,39,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/12/2016,$43.00 ,PPEU-034-012,,Money Order,Enterprise
Whirlpool Washer & Dryer,98109,189,POLICE STATE DRUG FUND,12/12/2016,$225.46 ,"PSDF-027E-263, PSDF-027E-264",,3690663876,Enterprise
Toshiba Laptop,98107,187,POLICE STATE DRUG FUND,12/12/2016,$91.00 ,PSDF-027E-261,,3690631508,Enterprise
2 PS4 Games,98105,185,POLICE STATE DRUG FUND,12/12/2016,$11.00 ,PSDF-027B-108B,,3690624521,Enterprise
3 Ticket Booths,98104,184,TENNESSEE STATE FAIR,12/12/2016,$395.01 ,"SF-111291, SF-111292, SF-111293",,3691012440,Enterprise
Battery Cart,98102,182,SCHOOL BOARD WAREHOUSE,12/12/2016,$42.00 ,SBS-7875D,,3690965201,Enterprise
Credenza,98094,174,GENERAL SERVICES,12/12/2016,$57.00 ,111117,,3690729974,General Fund
Printer,98129,209,WATER SERVICES,12/13/2016,$52.00 ,WS-110943,,3690662011,Enterprise
Copier,98128,208,ASSESSOR OF PROPERTY,12/13/2016,$83.00 ,111052,,3690662143,General Fund
2 Chairs,98127,207,HEALTH,12/13/2016,$4.00 ,"110866, 110867",,Money Order,General Fund
Dell Laptop,98126,206,ITS,12/13/2016,$68.00 ,110954,,3690637101,General Fund
Dell Laptop,98124,204,ITS,12/13/2016,$68.00 ,110952,,3690637096,General Fund
Dell Laptop,98123,203,ITS,12/13/2016,$64.00 ,110959,,3690697845,General Fund
Dell Laptop,98121,201,ITS,12/13/2016,$74.04 ,110950,,3690697840,General Fund
Dell Laptop,98119,199,ITS,12/13/2016,$68.00 ,110956,,3690767551,General Fund
Dell Laptop,98118,198,ITS,12/13/2016,$106.00 ,110967,,3690697839,General Fund
Dell Computer,98113,193,ITS,12/13/2016,$81.01 ,110981,,3690696620,General Fund
Dell Computer,98112,192,ITS,12/13/2016,$79.88 ,110978,,3691147309,General Fund
Dell Computer,98111,191,ITS,12/13/2016,$84.00 ,110982,,3690696615,General Fund
Dell Computer,98110,190,ITS,12/13/2016,$90.88 ,110985,,3690697835,General Fund
2004 Thomas School Bus,98260,100,SCHOOL BOARD,12/14/2016,"$1,680.00 ",,26-Apr,Cashiers Check,Enterprise
2004 Thomas School Bus,98259,99,SCHOOL BOARD,12/14/2016,"$1,701.01 ",,Apr-73,Cashiers Check,Enterprise
2004 Thomas School Bus,98258,98,SCHOOL BOARD,12/14/2016,"$2,351.10 ",,Apr-69,Cashiers Check,Enterprise
2001 Honda CBR 929RR,98256,96,POLICE STATE DRUG FUND,12/14/2016,"$1,745.99 ",,1014297,Cashiers Check,Enterprise
2005 Mercury Montego,98255,95,POLICE STATE DRUG FUND,12/14/2016,$945.00 ,,1066554,Money Order,Enterprise
2004 Chevrolet Tahoe,98250,90,POLICE STATE DRUG FUND,12/14/2016,"$4,025.00 ",,170547,Cashiers Check,Enterprise
2006 Infiniti M45,98245,85,POLICE STATE DRUG FUND,12/14/2016,"$3,125.60 ",,908862,Cashiers Check,Enterprise
2005 Honda Civic,98242,82,POLICE STATE DRUG FUND,12/14/2016,"$1,375.00 ",,167387,3690705447,Enterprise
Main Stays Bath Set,98149,229,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/14/2016,$24.00 ,PPEU-033-005,,3690705498,Enterprise
2 Bongo Head Wraps,98143,223,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/14/2016,$12.00 ,PPEU-033-040,,3691102200,Enterprise
Husky Tool Bag w/Tools,98133,213,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/14/2016,$35.00 ,PPEU-033-035A,,3690890767,Enterprise
Black & Decker Electric Weed Eater,98132,212,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/14/2016,$13.26 ,PPEU-033-048,,3690969478,Enterprise
5 Extron Control Systems,98269,109,PUBLIC LIBRARY,12/15/2016,$25.00 ,"105168, 105169, 105170, 105171, 105172",,3691172347,General Fund
Dayton Pallet Jack,98268,108,SURPLUS WAREHOUSE,12/15/2016,$78.85 ,111091,,3690890770,Enterprise
White Industries Battery Charger,98262,102,SURPLUS WAREHOUSE,12/15/2016,$73.00 ,111090,,3690967304,Enterprise
5 Dollies,98261,101,SURPLUS WAREHOUSE,12/15/2016,$132.00 ,"111097, 111098, 111099, 111100, 111101",,3691172343,Enterprise
XBox 360,98172,12,POLICE STATE DRUG FUND,12/15/2016,$36.35 ,PSDF-027C-204,,3691622675,Enterprise
5 Yamaha Surround Sound Speakers,98171,11,POLICE STATE DRUG FUND,12/15/2016,$34.00 ,PSDF-027C-191,,3691035750,Enterprise
Lenovo Laptop,98168,8,POLICE STATE DRUG FUND,12/15/2016,$117.00 ,PSDF-027C-195,,3690781738,Enterprise
Acer Laptop,98167,7,POLICE STATE DRUG FUND,12/15/2016,$32.00 ,PSDF-027C-182,,3690781524,Enterprise
Samsung Speaker,98166,6,POLICE STATE DRUG FUND,12/15/2016,$27.00 ,PSDF-027C-177,,Money Order,Enterprise
Sink,98164,4,SCHOOL BOARD FOOD SERVICE,12/15/2016,$132.50 ,FSBS-0334,,Cashiers Check,Enterprise
Cashier,98163,3,SCHOOL BOARD FOOD SERVICE,12/15/2016,$103.00 ,FSBS-0328,,Money Order,Enterprise
2 Rolling Carts,98162,2,SCHOOL BOARD FOOD SERVICE,12/15/2016,$150.00 ,FSBS-0325B,,Cashiers Check,Enterprise
2 Rolling Carts,98161,1,SCHOOL BOARD FOOD SERVICE,12/15/2016,$240.00 ,FSBS-0325A,,Cashiers Check,Enterprise
CVap,98159,239,SCHOOL BOARD FOOD SERVICE,12/15/2016,$106.00 ,FSBS-0332,,Cashiers Check,Enterprise
CVap,98158,238,SCHOOL BOARD FOOD SERVICE,12/15/2016,$431.00 ,FSBS-0330,,3691158852,Enterprise
CVap,98157,237,SCHOOL BOARD FOOD SERVICE,12/15/2016,$411.00 ,FSBS-0331,,3691158848,Enterprise
File Cabinet,98156,236,GENERAL SERVICES,12/15/2016,$21.00 ,108712,,3690796952,General Fund
File Cabinet,98155,235,GENERAL SERVICES,12/15/2016,$20.30 ,108710,,3690796832,General Fund
File Cabinet,98154,234,GENERAL SERVICES,12/15/2016,$16.00 ,108711,,3690796638,General Fund
Cabinet,98153,233,GENERAL SERVICES,12/15/2016,$33.02 ,110469,,3690985841,General Fund
Nike Tennis Shoes Size: 11,98279,119,DRUG TASK FORCE,12/19/2016,$51.57 ,TF-337-014CCC,,3690970094,Enterprise
Nike Tennis Shoes Size: 11.5,98276,116,DRUG TASK FORCE,12/19/2016,$83.99 ,TF-337-014EEE,,3691117022,Enterprise
Nike Tennis Shoes Size: 11.5,98273,113,DRUG TASK FORCE,12/19/2016,$84.00 ,TF-337-014YY,,3690969188,Enterprise
"Work Foce 24"" Bolt Cutters",98203,43,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/19/2016,$27.00 ,PPEU-034-025,,3691100393,Enterprise
Canon Digital Camera,98202,42,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/19/2016,$169.01 ,PPEU-034-040,,3691046336,Enterprise
Bose Bluetooth Mobile Speaker,98201,41,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/19/2016,$128.00 ,PPEU-034-041,,Cashiers Check,Enterprise
Auto Craft 2.25-Ton Floor Jack,98198,38,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/19/2016,$51.00 ,PPEU-034-006B,,3691063804,Enterprise
Michael Kors Purse & Wallet,98195,35,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/19/2016,$73.00 ,PPEU-034-001F,,3691154993,Enterprise
Michael Kors Wallet,98194,34,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/19/2016,$86.00 ,PPEU-034-001E,,3691102202,Enterprise
Office Electronics,98190,30,HEALTH,12/19/2016,$26.50 ,"110912, 110911, 110901, 11091-, 110909, 110908, 110886, 110913, 110904, 110907, 110898, 110888, 110887, 110899",,3691046335,General Fund
Slide,98188,28,SCHOOL BOARD FOOD SERVICE,12/19/2016,$240.00 ,FSBS-0342,,3691117927,Enterprise
Ice Maker,98187,27,SCHOOL BOARD FOOD SERVICE,12/19/2016,$411.00 ,FSBS-0343,,3690975374,Enterprise
Freezer,98186,26,SCHOOL BOARD FOOD SERVICE,12/19/2016,$382.00 ,FSBS-0344,,Cashiers Check,Enterprise
Double Oven,98185,25,SCHOOL BOARD FOOD SERVICE,12/19/2016,"$1,301.00 ",FSBS-0341,,3690975369,Enterprise
4 Chairs,98181,21,GENERAL SERVICES,12/19/2016,$37.00 ,"109703, 109705, 109704, 109700",,Cashiers Check,General Fund
Copier,98177,17,WATER SERVICES,12/19/2016,$173.00 ,WS-110939,,3690998234,Enterprise
"10"" Kicker Subwoofers w/Kenwood Amplifier",98336,176,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/20/2016,$115.00 ,PPEU-035-019,,Cashiers Check,Enterprise
Laser Labs Tint Meter,98335,175,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/20/2016,$21.00 ,PPEU-035-027,,3691127254,Enterprise
Ridgid Collated Screwdriver,98333,173,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/20/2016,$42.00 ,PPEU-035-003,,3691105153,Enterprise
Glacier Bay Bathroom Faucet,98332,172,POLICE STATE FELONY FORFEITURE,12/20/2016,$35.00 ,PSFF-035B-191,,3691144464,Enterprise
Sony DVD Home Theater System,98323,163,POLICE STATE FELONY FORFEITURE,12/20/2016,$68.01 ,PSFF-035B-177,,3691035757,Enterprise
JVC Stereo Receiver,98322,162,POLICE STATE FELONY FORFEITURE,12/20/2016,$75.44 ,PSFF-035B-178,,3691115894,Enterprise
"Hero 24"" Rims",98319,159,POLICE STATE FELONY FORFEITURE,12/20/2016,$530.00 ,PSFF-035B-133,,3691172236,Enterprise
Serving Line,98293,133,SCHOOL BOARD FOOD SERVICE,12/20/2016,$239.00 ,"FSBS-0327, FSBS-0329",,Money Order,Enterprise
Jordan Tennis Shoes Size: 11,98289,129,DRUG TASK FORCE,12/20/2016,$70.01 ,TF-337-014PPP,,3691167684,Enterprise
Jordan Tennis Shoes Size: 11,98288,128,DRUG TASK FORCE,12/20/2016,$75.99 ,TF-337-014OOO,,3691593466,Enterprise
Jordan Tennis Shoes Size: 11,98287,127,DRUG TASK FORCE,12/20/2016,$132.00 ,TF-337-014NNN,,3691091478,Enterprise
Jordan Tennis Shoes Size: 11,98284,124,DRUG TASK FORCE,12/20/2016,$89.01 ,TF-337-014JJJ,,3691270016,Enterprise
Jordan Tennis Shoes Size: 11,98283,123,DRUG TASK FORCE,12/20/2016,$160.00 ,TF0337-014III,,3691143712,Enterprise
Perforated Paper,98218,58,ITS,12/20/2016,$185.99 ,110620,,Money Order,General Fund
Television,98217,57,GENERAL SERVICES,12/20/2016,$38.00 ,109634,,3691078188,General Fund
File Cabinet,98208,48,GENERAL SERVICES,12/20/2016,$70.00 ,109606,,3691190858,General Fund
File Cabinet,98207,47,GENERAL SERVICES,12/20/2016,$83.00 ,109608,,3691190715,General Fund
2 Camcorders,98205,45,POLICE DEPARTMENT,12/20/2016,$156.00 ,"110401, 110402",,Cashiers Check,General Fund
File Cabinet,98204,44,POLICE DEPARTMENT,12/20/2016,$37.13 ,109609,,3691032793,General Fund
Federal Signal Siren Amps (Emergency Provider Only),98385,225,SURPLUS WAREHOUSE,12/21/2016,$25.00 ,111049,,3691103103,Enterprise
2006 Honda Ridgeline,98384,224,POLICE STATE DRUG FUND,12/21/2016,"$3,333.01 ",,1066401,Cashiers Check,Enterprise
1999 Honda Civic,98383,223,POLICE STATE DRUG FUND,12/21/2016,"$1,728.59 ",,191553,Cashiers Check,Enterprise
2001 Dodge Durango,98382,222,POLICE STATE DRUG FUND,12/21/2016,"$1,205.00 ",,1054086,3691132411,Enterprise
1998 Chevrolet Astro,98376,216,POLICE STATE DRUG FUND,12/21/2016,"$1,325.00 ",,166581,Cashiers Check,Enterprise
"Samsung 46"" LED TV",98375,215,POLICE STATE DRUG FUND,12/21/2016,$150.00 ,PSDF-028-002,,3691130877,Enterprise
"Samsung 51"" Plasma Smart TV",98372,212,POLICE STATE DRUG FUND,12/21/2016,$202.18 ,PSDF-028-009,,3691121338,Enterprise
"Ryobi 7-1/4"" Miter Saw",98346,186,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/21/2016,$43.00 ,PPEU-035-021,,3691097124,Enterprise
Husqvarna Back Pack Blower,98344,184,POLICE PROPERTY AND EVIDENCE UNCLAIMED,12/21/2016,$160.01 ,PPEU-035-033,,Money Order,Enterprise
Table,98235,75,GENERAL SERVICES,12/21/2016,$22.01 ,110048,,3691153763,General Fund
5 Chairs,98233,73,GENERAL SERVICES,12/21/2016,$19.00 ,"109697, 109715, 109699, 109698, 110053",,Cashiers Check,General Fund
2 Chairs,98225,65,GENERAL SERVICES,12/21/2016,$20.00 ,"109716, 109967",,3691257436,General Fund
Chair,98223,63,GENERAL SERVICES,12/21/2016,$71.88 ,109303,,3691190923,General Fund
