Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
Dell Computer System,79883,ITS,12/18/2013,$73.51,$0.00,0.23,$16.90,$16.90,Successful,01/02/2014,,"75244, 75572",,,Money Order,$3000,$0.00,$56.60,General Fund,0
Dell Computer System,79885,ITS,12/18/2013,$63.51,$0.00,0.23,$14.60,$14.60,Successful,01/02/2014,,"75237, 75305",,,Money Order,$3000,$0.00,$48.90,General Fund,0
8 Chairs,79895,NASHVILLE CONVENTION CTR,12/18/2013,$84.05,$0.00,0.23,$19.33,$19.33,Successful,01/02/2014,,NCC-74912,,,Money Order,$3000,$0.00,$64.71,Enterprise,0
7 Rugs,79900,METRO ACTION,12/18/2013,$155.00,$3.56,0.23,$35.65,$35.65,Successful,01/16/2014,,MAC-74141D,,,3604156925,$3000,$0.00,$119.35,Enterprise,0
1974 Cadillac Eldorado Convertible,79910,DRUG TASK FORCE,12/17/2013,$410.00,$9.43,0.23,$94.30,$94.30,Successful,01/15/2014,,TF-311-071,,1033884,3604098125,$3000,$95.00,$220.70,Enterprise,0
Storage Cabinet,79912,SCHOOL BOARD WAREHOUSE,01/06/2014,$62.00,$1.43,0.23,$14.26,$14.26,Successful,01/08/2014,,SBS-6210,,,3603475402,$3000,$0.00,$47.74,Enterprise,0
Winston Warmer,79913,SCHOOL BOARD WAREHOUSE,01/06/2014,$50.00,$0.00,0.23,$11.50,$11.50,Successful,01/09/2014,,SBS-6217,,,Money Order,$3000,$0.00,$38.50,Enterprise,0
2 Vollrath Warming Cabinets,79914,SCHOOL BOARD WAREHOUSE,01/06/2014,$125.00,$2.88,0.23,$28.75,$28.75,Successful,01/10/2014,,SBS-6212,,,3603744332,$3000,$0.00,$96.25,Enterprise,0
Hobart 512 TMS Slicer,79915,SCHOOL BOARD WAREHOUSE,01/06/2014,$126.99,$0.00,0.23,$29.20,$29.20,Successful,01/13/2014,,SBS-6205,,,Cashiers Check,$3000,$0.00,$97.78,Enterprise,0
Hobart 512 Slicer,79918,SCHOOL BOARD WAREHOUSE,01/06/2014,$98.99,$2.28,0.23,$22.76,$22.76,Successful,01/06/2014,,SBS-6204B,,,3603314944,$3000,$0.00,$76.22,Enterprise,0
Hobart 512 TMS Slicer,79919,SCHOOL BOARD WAREHOUSE,01/06/2014,$79.99,$1.84,0.23,$18.39,$18.39,Successful,01/06/2014,,SBS-6204C,,,3603314951,$3000,$0.00,$61.59,Enterprise,0
Hobart 512 TMS Slicer,79920,SCHOOL BOARD WAREHOUSE,01/06/2014,$34.00,$0.00,0.23,$7.82,$7.82,Successful,01/08/2014,,SBS-6204D,,,Cashiers Check,$3000,$0.00,$26.18,Enterprise,0
Hobart 410 Slicer,79921,SCHOOL BOARD WAREHOUSE,01/06/2014,$16.00,$0.00,0.23,$3.68,$3.68,Successful,01/08/2014,,SBS-6204E,,,Money Order,$3000,$0.00,$12.32,Enterprise,0
Assorted Kitchen Ware,79922,SCHOOL BOARD WAREHOUSE,01/06/2014,$81.27,$1.87,0.23,$18.69,$18.69,Successful,01/08/2014,,SBS-6215A,,,3603497119,$3000,$0.00,$62.57,Enterprise,0
Assorted Kitchen Ware,79924,SCHOOL BOARD WAREHOUSE,01/06/2014,$377.00,$0.00,0.23,$86.71,$86.71,Successful,01/13/2014,,SBS-6215C,,,Money Order,$3000,$0.00,$290.29,Enterprise,0
Kitchen Items,79925,SCHOOL BOARD WAREHOUSE,01/06/2014,$33.00,$0.76,0.23,$7.59,$7.59,Successful,01/22/2014,,SBS-6215D,,,3604564037,$3000,$0.00,$25.41,Enterprise,0
Kitchen Items,79926,SCHOOL BOARD WAREHOUSE,01/06/2014,$11.00,$0.25,0.23,$2.53,$2.53,Successful,01/22/2014,,SBS-6215E,,,3604564050,$3000,$0.00,$8.47,Enterprise,0
Kitchen Ware,79928,SCHOOL BOARD WAREHOUSE,01/06/2014,$243.99,$5.61,0.23,$56.11,$56.11,Successful,01/10/2014,,SBS-6215G,,,3603708376,$3000,$0.00,$187.87,Enterprise,0
2 Storage Bins,79929,SCHOOL BOARD WAREHOUSE,01/06/2014,$111.99,$2.58,0.23,$25.75,$25.75,Successful,01/08/2014,,SBS-6211,,,3603497134,$3000,$0.00,$86.23,Enterprise,0
Table,79930,SCHOOL BOARD WAREHOUSE,01/06/2014,$111.00,$2.55,0.23,$25.53,$25.53,Successful,01/10/2014,,SBS-6207A,,,3603744565,$3000,$0.00,$85.47,Enterprise,0
Table,79931,SCHOOL BOARD WAREHOUSE,01/06/2014,$111.00,$2.55,0.23,$25.53,$25.53,Successful,01/10/2014,,SBS-6207B,,,3603744759,$3000,$0.00,$85.47,Enterprise,0
Pressure Washer,79932,SCHOOL BOARD WAREHOUSE,01/06/2014,$105.99,$2.44,0.23,$24.37,$24.37,Successful,01/08/2014,,SBS-6216,,,3603467837,$3000,$0.00,$81.61,Enterprise,0
Cash Register,79934,SCHOOL BOARD WAREHOUSE,01/06/2014,$5.01,$0.12,0.23,$1.15,$1.15,Successful,01/14/2014,,SBS-6201,,,3603986223,$3000,$0.00,$3.85,Enterprise,0
Cash Register,79935,SCHOOL BOARD WAREHOUSE,01/06/2014,$5.01,$0.12,0.23,$1.15,$1.15,Successful,01/14/2014,,SBS-6202,,,3603986234,$3000,$0.00,$3.85,Enterprise,0
Cash Register,79936,SCHOOL BOARD WAREHOUSE,01/06/2014,$5.01,$0.12,0.23,$1.15,$1.15,Successful,01/14/2014,,SBS-6203,,,3603986251,$3000,$0.00,$3.85,Enterprise,0
Cash Register,79937,SCHOOL BOARD WAREHOUSE,01/06/2014,$6.00,$0.14,0.23,$1.38,$1.38,Successful,01/14/2014,,SBS-6200,,,3603986272,$3000,$0.00,$4.62,Enterprise,0
Milk Cooler,79938,SCHOOL BOARD WAREHOUSE,01/06/2014,$53.10,$1.22,0.23,$12.21,$12.21,Successful,01/09/2014,,SBS-6198,,,3603568496,$3000,$0.00,$40.88,Enterprise,0
Table w/3-Drawers,79939,SCHOOL BOARD WAREHOUSE,01/06/2014,$363.00,$8.35,0.23,$83.49,$83.49,Successful,01/08/2014,,SBS-6208,,,3603497149,$3000,$0.00,$279.51,Enterprise,0
Desk,79940,SCHOOL BOARD WAREHOUSE,01/06/2014,$52.00,$1.20,0.23,$11.96,$11.96,Successful,01/09/2014,,SBS-6199,,,3603595300,$3000,$0.00,$40.04,Enterprise,0
2 Rolling Carts,79941,SCHOOL BOARD WAREHOUSE,01/06/2014,$75.01,$1.73,0.23,$17.25,$17.25,Successful,01/12/2014,,SBS-6191,,,3603817315,$3000,$0.00,$57.75,Enterprise,0
Sony VCR & DVD Players,79942,SCHOOL BOARD WAREHOUSE,01/06/2014,$52.00,$1.20,0.23,$11.96,$11.96,Successful,01/08/2014,,SBS-6188A,,,3603495658,$3000,$0.00,$40.04,Enterprise,0
DVD & VCR,79943,SCHOOL BOARD WAREHOUSE,01/06/2014,$29.01,$0.67,0.23,$6.67,$6.67,Successful,01/08/2014,,SBS-6188B,,,3603495677,$3000,$0.00,$22.33,Enterprise,0
Compact Refrigerator,79944,SCHOOL BOARD WAREHOUSE,01/06/2014,$8.00,$0.18,0.23,$1.84,$1.84,Successful,01/13/2014,,SBS-6193,,,3603943095,$3000,$0.00,$6.16,Enterprise,0
Cabinet,79945,NASHVILLE CONVENTION CTR,01/07/2014,$7.00,$0.16,0.23,$1.61,$1.61,Successful,01/08/2014,,NCC-75595,,,3603483230,$3000,$0.00,$5.39,Enterprise,0
FWC Warmer,79946,NASHVILLE CONVENTION CTR,01/07/2014,$41.99,$0.00,0.23,$9.65,$9.65,Successful,01/09/2014,,NCC-75671,,,Money Order,$3000,$0.00,$32.33,Enterprise,0
True Cooler,79947,NASHVILLE CONVENTION CTR,01/07/2014,$160.75,$3.70,0.23,$36.97,$36.97,Successful,01/08/2014,,NCC-75723,,,3603497374,$3000,$0.00,$123.77,Enterprise,0
Amana Commercial Microwave,79948,NASHVILLE CONVENTION CTR,01/07/2014,$27.00,$0.62,0.23,$6.21,$6.21,Successful,01/08/2014,,NCC-75727,,,3603497396,$3000,$0.00,$20.79,Enterprise,0
Eagle Stainless Steel Table,79949,NASHVILLE CONVENTION CTR,01/07/2014,$102.00,$2.35,0.23,$23.46,$23.46,Successful,01/08/2014,,NCC-75726,,,3603497413,$3000,$0.00,$78.54,Enterprise,0
Star Oven Toaster,79950,NASHVILLE CONVENTION CTR,01/07/2014,$317.00,$0.00,0.23,$72.91,$72.91,Successful,01/07/2014,,NCC-75725,,,Cashiers Check,$3000,$0.00,$244.09,Enterprise,0
Eagle Stainless Steel Table,79951,NASHVILLE CONVENTION CTR,01/07/2014,$233.00,$0.00,0.23,$53.59,$53.59,Successful,01/07/2014,,NCC-75722,,,Cashiers Check,$3000,$0.00,$179.41,Enterprise,0
Sico Folding Table w/Wheels,79952,NASHVILLE CONVENTION CTR,01/07/2014,$60.01,$1.38,0.23,$13.80,$13.80,Successful,01/07/2014,,NCC-75659,,,3603378757,$3000,$0.00,$46.20,Enterprise,0
Wire Rack,79954,NASHVILLE CONVENTION CTR,01/07/2014,$24.69,$0.57,0.23,$5.67,$5.67,Successful,01/13/2014,,NCC-75724,,,3603943217,$3000,$0.00,$19.01,Enterprise,0
Perlick Ice Holder,79955,NASHVILLE CONVENTION CTR,01/07/2014,$117.48,$0.00,0.23,$27.02,$27.02,Successful,01/07/2014,,NCC-75602,,,Cashiers Check,$3000,$0.00,$90.45,Enterprise,0
Picture,79956,NASHVILLE CONVENTION CTR,01/07/2014,$32.00,$0.74,0.23,$7.36,$7.36,Successful,01/08/2014,,NCC-75775,,,3603491140,$3000,$0.00,$24.64,Enterprise,0
15 Ceramic Bowls,79957,NASHVILLE CONVENTION CTR,01/07/2014,$108.00,$2.48,0.23,$24.84,$24.84,Successful,01/07/2014,,NCC-75649,,,3603388403,$3000,$0.00,$83.16,Enterprise,0
6 Heath Flow Measurement Rods,79958,WATER SERVICES,01/07/2014,$79.99,$1.84,0.23,$18.39,$18.39,Successful,01/07/2014,,WS-73877,,,3603381573,$3000,$0.00,$61.59,Enterprise,0
Hon 2-Drawer File Cabinet,79959,POLICE STATE DRUG FUND,01/07/2014,$22.51,$0.52,0.23,$5.17,$5.17,Successful,01/08/2014,31740201.507,PSDF-73731,,,3603534226,$3000,$0.00,$17.33,Enterprise,0
Fellowes Powershred 320 Shredder,79960,POLICE STATE DRUG FUND,01/07/2014,$88.01,$2.02,0.23,$20.24,$20.24,Successful,01/13/2014,31740201.507,PSDF-73617,,,3603848754,$3000,$0.00,$67.76,Enterprise,0
Lighting Kit w/Case,79961,POLICE STATE DRUG FUND,01/07/2014,$140.00,$3.22,0.23,$32.20,$32.20,Successful,01/12/2014,31740201.507,PSDF-73618,,,3603810666,$3000,$0.00,$107.80,Enterprise,0
1 Pallet of Assorted Keyboard Trays,79962,POLICE STATE DRUG FUND,01/07/2014,$4.01,$0.09,0.23,$0.92,$0.92,Successful,01/07/2014,31740201.507,PSDF-73602,,,3603391588,$3000,$0.00,$3.08,Enterprise,0
Assorted VHS Tapes,79963,POLICE STATE DRUG FUND,01/07/2014,$68.00,$1.56,0.23,$15.64,$15.64,Successful,01/07/2014,31740201.507,PSDF-73599,,,3603412931,$3000,$0.00,$52.36,Enterprise,0
Casio Calculator,79964,FINANCE,01/08/2014,$7.00,$0.16,0.23,$1.61,$1.61,Successful,01/09/2014,,73635,,,3603574563,$3000,$0.00,$5.39,General Fund,0
Canon Calculator,79965,FINANCE,01/08/2014,$9.00,$0.21,0.23,$2.07,$2.07,Successful,01/08/2014,,73636,,,3603497432,$3000,$0.00,$6.93,General Fund,0
HP Laser Jet 4100dtn,79966,FINANCE,01/08/2014,$47.01,$1.08,0.23,$10.81,$10.81,Successful,01/08/2014,,73633,,,3603476380,$3000,$0.00,$36.19,General Fund,0
Printer Stand,79968,METRO ACTION,01/08/2014,$6.00,$0.14,0.23,$1.38,$1.38,Successful,01/12/2014,,MA-63780,,,3603810674,$3000,$0.00,$4.62,Enterprise,0
Dell Power Edge 6850 Server,79969,CODES,01/08/2014,$38.99,$0.90,0.23,$8.96,$8.96,Successful,01/16/2014,,75576,,,3604199243,$3000,$0.00,$30.02,General Fund,0
CD Rack,79970,PUBLIC LIBRARY,01/08/2014,$21.00,$0.48,0.23,$4.83,$4.83,Successful,01/08/2014,,75562,,,3603473425,$3000,$0.00,$16.17,General Fund,0
Elmo 16-CL Optical Projector w/Cart,79971,PUBLIC LIBRARY,01/08/2014,$130.01,$2.99,0.23,$29.90,$29.90,Successful,01/08/2014,,75564,,,3603475436,$3000,$0.00,$100.10,General Fund,0
2003 Ford F-450,79976,OFM-WATER SERVICES,01/02/2014,$9100.00,$0.00,0.23,$2093.00,$2093.00,Successful,01/06/2014,80000567,,31C 041,,Cashiers Check,$3000,$0.00,$7007.00,Enterprise,0
2003 Chevrolet Malibu,79977,OFM-POLICE,01/02/2014,$2125.00,$0.00,0.23,$488.75,$488.75,Successful,01/08/2014,80000852,,P 2938 AL,,Cashiers Check,$3000,$0.00,$1636.25,Enterprise,0
2008 International Cab & Chassis,79978,OFM-FIRE,01/02/2014,$2125.00,$48.88,0.23,$488.75,$488.75,Successful,01/10/2014,80006639,,1479 JG,,3603718058,$3000,$0.00,$1636.25,Enterprise,0
2003 Ford F-450,79979,OFM-WATER SERVICES,01/02/2014,$9000.00,$0.00,0.23,$2070.00,$2070.00,Successful,01/06/2014,80000565,,31C 039,,Cashiers Check,$3000,$0.00,$6930.00,Enterprise,0
2003 Chevrolet Malibu,79980,OFM-POLICE,01/02/2014,$2625.00,$0.00,0.23,$603.75,$603.75,Successful,01/08/2014,80000699,,P 2905 AL,,Cashiers Check,$3000,$0.00,$2021.25,Enterprise,0
2007 Toyota Camry,79981,POLICE STATE DRUG FUND,01/02/2014,$5550.00,$0.00,0.23,$1276.50,$1276.50,Successful,01/02/2014,,,07D 4783,,Cashiers Check,$3000,$0.00,$4273.50,Enterprise,0
1996 Honda Accord,79982,POLICE STATE DRUG FUND,01/02/2014,$1726.00,$0.00,0.23,$396.98,$396.98,Successful,01/09/2014,,,07D 4549,,Cashiers Check,$3000,$0.00,$1329.02,Enterprise,0
2005 Buick LeSabre,79983,POLICE STATE GAMBLING FORFEITURE,01/02/2014,$1525.00,$0.00,0.23,$350.75,$350.75,Successful,01/08/2014,,,07G 4696,,Cashiers Check,$3000,$0.00,$1174.25,Enterprise,0
1968 Pontiac Catalina,79986,DRUG TASK FORCE,01/02/2014,$1375.00,$0.00,0.23,$316.25,$316.25,Successful,01/07/2014,,TF-311-068,,959858,Cashiers Check,$3000,$95.00,$963.75,Enterprise,0
Beverage Air Refrigerator w/Wheels,79987,NASHVILLE CONVENTION CTR,01/09/2014,$27.01,$0.00,0.23,$6.21,$6.21,Successful,01/16/2014,,NCC-75729,,,Cashiers Check,$3000,$0.00,$20.79,Enterprise,0
Hanging Rack,79988,NASHVILLE CONVENTION CTR,01/09/2014,$41.00,$0.94,0.23,$9.43,$9.43,Successful,01/15/2014,,NCC-75665,,,3604056042,$3000,$0.00,$31.57,Enterprise,0
Lockwood Coat Rack,79989,NASHVILLE CONVENTION CTR,01/09/2014,$53.60,$1.23,0.23,$12.32,$12.32,Successful,01/09/2014,,NCC-75594,,,3603574580,$3000,$0.00,$41.27,Enterprise,0
4 Chairs,79990,NASHVILLE CONVENTION CTR,01/09/2014,$21.00,$0.48,0.23,$4.83,$4.83,Successful,01/11/2014,,"NCC-75584, NCC-75585, NCC-75586, NCC-75588",,,3603788125,$3000,$0.00,$16.17,Enterprise,0
3 Chairs,79991,NASHVILLE CONVENTION CTR,01/09/2014,$12.06,$0.28,0.23,$2.77,$2.77,Successful,01/11/2014,,"NCC-75591, NCC-75592, NCC-75593",,,3603788913,$3000,$0.00,$9.28,Enterprise,0
Childrens Playset Items,79992,METRO ACTION,01/09/2014,$57.01,$1.31,0.23,$13.11,$13.11,Successful,01/10/2014,,"MAC-73972, MAC-73990, MAC-73991, MAC-74048, MAC-74092, MAC-74676, MAC-74684, MAC-74705",,,3603650687,$3000,$0.00,$43.89,Enterprise,0
Podium,79994,METRO ACTION,01/09/2014,$12.00,$0.28,0.23,$2.76,$2.76,Successful,01/13/2014,,MAC-74074,,,3603891882,$3000,$0.00,$9.24,Enterprise,0
3 Cambro Food Carts,79995,METRO ACTION,01/09/2014,$308.00,$7.08,0.23,$70.84,$70.84,Successful,01/10/2014,,MAC-74033,,,3603722863,$3000,$0.00,$237.16,Enterprise,0
Kid Size U-Shaped Table,79996,METRO ACTION,01/09/2014,$22.01,$0.51,0.23,$5.06,$5.06,Successful,01/14/2014,,MAC-74158,,,3603974335,$3000,$0.00,$16.94,Enterprise,0
11 Rugs,79997,METRO ACTION,01/09/2014,$915.00,$0.00,0.23,$210.45,$210.45,Successful,01/14/2014,,MAC-74142,,,Cashiers Check,$3000,$0.00,$704.55,Enterprise,0
Care Play Art Easel,79998,METRO ACTION,01/09/2014,$9.50,$0.22,0.23,$2.18,$2.18,Successful,01/12/2014,,MAC-74076A,,,3603839966,$3000,$0.00,$7.31,Enterprise,0
Counter w/Sink,79999,METRO ACTION,01/09/2014,$6.00,$0.14,0.23,$1.38,$1.38,Successful,01/11/2014,,MAC-73971,,,3603773024,$3000,$0.00,$4.62,Enterprise,0
Pro Cart II Mobile Treatment Console,80000,METRO ACTION,01/09/2014,$156.99,$3.61,0.23,$36.10,$36.10,Successful,01/09/2014,,MAC-74075,,,3603586986,$3000,$0.00,$120.88,Enterprise,0
Wooden Shelf,80001,METRO ACTION,01/09/2014,$14.00,$0.32,0.23,$3.22,$3.22,Successful,01/09/2014,,MAC-72580,,,3603583018,$3000,$0.00,$10.78,Enterprise,0
10 Chairs,80004,METRO ACTION,01/09/2014,$13.00,$0.30,0.23,$2.99,$2.99,Successful,01/14/2014,,"MAC-73087, MAC-73656, MAC-73675, MAC-73705, MAC-74093, MAC-74094, MAC-74095, MAC-74097, MAC-74099, MAC-74699",,,3603974942,$3000,$0.00,$10.01,Enterprise,0
HP Color Laser Jet 4600 Printer,80006,METRO ACTION,01/09/2014,$153.00,$3.52,0.23,$35.19,$35.19,Successful,01/12/2014,,MAC-73982,,,3603827151,$3000,$0.00,$117.81,Enterprise,0
Lateral File Cabinet,80008,GENERAL SERVICES,01/09/2014,$81.00,$1.86,0.23,$18.63,$18.63,Successful,01/09/2014,,70585,,,3603585660,$3000,$0.00,$62.37,General Fund,0
"3 Sony 18"" Flat Screen Monitors",80009,MDHA,01/09/2014,$25.00,$0.58,0.23,$5.75,$5.75,Successful,01/15/2014,,"MDHA-60345, MDHA-60346, MDHA-60347",,,3604084422,$3000,$0.00,$19.25,Enterprise,0
